cve_id,published,year,severity,score,keyword_hits,macro_area,subcategory,description,cpe_matches,relevance_reason
CVE-2016-0635,2016-07-21T10:12:00.177,2016,HIGH,8.8,WebRTC,Out of Scope,Out of scope,"Unspecified vulnerability in the Enterprise Manager Ops Center component in Oracle Enterprise Manager Grid Control 12.1.4, 12.2.2, and 12.3.2; the Oracle Health Sciences Information Manager component in Oracle Health Sciences Applications 1.2.8.3, 2.0.2.3, and 3.0.1.0; the Oracle Healthcare Master Person Index component in Oracle Health Sciences Applications 2.0.12, 3.0.0, and 4.0.1; the Oracle Documaker component in Oracle Insurance Applications before 12.5; the Oracle Insurance Calculation Engine component in Oracle Insurance Applications 9.7.1, 10.1.2, and 10.2.2; the Oracle Insurance Policy Administration J2EE and Oracle Insurance Rules Palette components in Oracle Insurance Applications 9.6.1, 9.7.1, 10.0.1, 10.1.2, 10.2.0, and 10.2.2; the Oracle Retail Integration Bus component in Oracle Retail Applications 15.0; the Oracle Retail Order Broker component in Oracle Retail Applications 5.1, 5.2, and 15.0; the Primavera Contract Management component in Oracle Primavera Products Suite 14.2; the Primavera P6 Enterprise Project Portfolio Management component in Oracle Primavera Products Suite 8.2, 8.3, 8.4, 15.1, 15.2, and 16.1; the Oracle Financial Services Analytical Applications Infrastructure component in Oracle Financial Services Applications 8.0.0, 8.0.1, 8.0.2, and 8.0.3; the Oracle Commerce Guided Search / Oracle Commerce Experience Manager component in Oracle Commerce 3.1.1, 3.1.2, 11.0, 11.1, and 11.2; the Oracle Agile PLM component in Oracle Supply Chain Products Suite 9.3.4 and 9.3.5; the Oracle Communications BRM - Elastic Charging Engine 11.2.0.0.0 and 11.3.0.0.0; the Oracle Enterprise Repository Enterprise Repository 12.1.3.0.0; the Oracle Financial Services Behavior Detection Platform 8.0.1 and 8.0.2; the Oracle Hyperion Essbase 12.2.1.1; the Oracle Tuxedo System and Applications Monitor (TSAM) 11.1.1.2.0, 11.1.1.2.1, 11.1.1.2.1, 12.1.1.1.0, 12.1.3.0.0, and 12.2.2.0.0; the Oracle Communications WebRTC Session Controller component of Oracle Communications Applications (subcomponent: Security (Spring)) 7.0, 7.1 and 7.2; the Oracle Endeca Information Discovery Integrator 3.2; the Converged Commerce component of Oracle Retail Applications 16.0.1; the Oracle Identity Manager 11.1.2.3.0; Oracle Enterprise Manager for MySQL Database 12.1.0.4; Oracle Retail Invoice Matching 12.0, 13.0, 13.1, 13.2, 14.0, and 14.1; Oracle Communications Performance Intelligence Center (PIC) Software Prior to 10.2.1 and the Oracle Knowledge component of Oracle Siebel CRM (subcomponent: AnswerFlow (Spring Framework)) version 8.5.1.0 - 8.5.1.7 and 8.6.0 allows remote authenticated users to affect confidentiality, integrity, and availability via unknown vectors.",cpe:2.3:a:oracle:documaker:*:*:*:*:*:*:*:*; cpe:2.3:a:oracle:enterprise_manager_ops_center:12.1.4:*:*:*:*:*:*:*; cpe:2.3:a:oracle:enterprise_manager_ops_center:12.2.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:enterprise_manager_ops_center:12.3.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:health_sciences_information_manager:1.2.8.3:*:*:*:*:*:*:*; cpe:2.3:a:oracle:health_sciences_information_manager:2.0.2.3:*:*:*:*:*:*:*; cpe:2.3:a:oracle:health_sciences_information_manager:3.0.1.0:*:*:*:*:*:*:*; cpe:2.3:a:oracle:healthcare_master_person_index:2.0.12:*:*:*:*:*:*:*; cpe:2.3:a:oracle:healthcare_master_person_index:3.0.0:*:*:*:*:*:*:*; cpe:2.3:a:oracle:healthcare_master_person_index:4.0.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_calculation_engine:9.7.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_calculation_engine:10.1.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_calculation_engine:10.2.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_policy_administration_j2ee:9.6.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_policy_administration_j2ee:9.7.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_policy_administration_j2ee:10.0.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_policy_administration_j2ee:10.1.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_policy_administration_j2ee:10.2.0:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_policy_administration_j2ee:10.2.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_rules_palette:9.6.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_rules_palette:9.7.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_rules_palette:10.0.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_rules_palette:10.1.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_rules_palette:10.2.0:*:*:*:*:*:*:*; cpe:2.3:a:oracle:insurance_rules_palette:10.2.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:primavera_contract_management:14.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:primavera_p6_enterprise_project_portfolio_management:8.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:primavera_p6_enterprise_project_portfolio_management:8.3:*:*:*:*:*:*:*; cpe:2.3:a:oracle:primavera_p6_enterprise_project_portfolio_management:8.4:*:*:*:*:*:*:*; cpe:2.3:a:oracle:primavera_p6_enterprise_project_portfolio_management:15.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:primavera_p6_enterprise_project_portfolio_management:15.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:primavera_p6_enterprise_project_portfolio_management:16.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:retail_integration_bus:15.0:*:*:*:*:*:*:*; cpe:2.3:a:oracle:retail_order_broker_cloud_service:5.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:retail_order_broker_cloud_service:5.2:*:*:*:*:*:*:*; cpe:2.3:a:oracle:retail_order_broker_cloud_service:15.0:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2017-10153,2017-10-19T17:29:00.763,2017,MEDIUM,6.3,WebRTC,Out of Scope,Out of scope,"Vulnerability in the Oracle Communications WebRTC Session Controller component of Oracle Communications Applications (subcomponent: Security (Gson)). Supported versions that are affected are 7.0, 7.1 and 7.2. Difficult to exploit vulnerability allows low privileged attacker with network access via multiple protocols to compromise Oracle Communications WebRTC Session Controller. While the vulnerability is in Oracle Communications WebRTC Session Controller, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of Oracle Communications WebRTC Session Controller. CVSS 3.0 Base Score 6.3 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:C/C:N/I:N/A:H).",cpe:2.3:a:oracle:communications_webrtc_session_controller:7.0:*:*:*:*:*:*:*; cpe:2.3:a:oracle:communications_webrtc_session_controller:7.1:*:*:*:*:*:*:*; cpe:2.3:a:oracle:communications_webrtc_session_controller:7.2:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2019-10638,2019-07-05T23:15:10.367,2019,MEDIUM,6.5,WebRTC,Out of Scope,Out of scope,"In the Linux kernel before 5.1.7, a device can be tracked by an attacker using the IP ID values the kernel produces for connection-less protocols (e.g., UDP and ICMP). When such traffic is sent to multiple destination IP addresses, it is possible to obtain hash collisions (of indices to the counter array) and thereby obtain the hashing key (via enumeration). An attack may be conducted by hosting a crafted web page that uses WebRTC or gQUIC to force UDP traffic to attacker-controlled IP addresses.",cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2019-10639,2019-07-05T23:15:10.477,2019,HIGH,7.5,WebRTC,Out of Scope,Out of scope,"The Linux kernel 4.x (starting from 4.1) and 5.x before 5.0.8 allows Information Exposure (partial kernel address disclosure), leading to a KASLR bypass. Specifically, it is possible to extract the KASLR kernel image offset using the IP ID values the kernel produces for connection-less protocols (e.g., UDP and ICMP). When such traffic is sent to multiple destination IP addresses, it is possible to obtain hash collisions (of indices to the counter array) and thereby obtain the hashing key (via enumeration). This key contains enough bits from a kernel address (of a static variable) so when the key is extracted (via enumeration), the offset of the kernel image is exposed. This attack can be carried out remotely, by the attacker forcing the target device to send UDP or ICMP (or certain other) traffic to attacker-controlled IP addresses. Forcing a server to send UDP traffic is trivial if the server is a DNS server. ICMP traffic is trivial if the server answers ICMP Echo requests (ping). For client targets, if the target visits the attacker's web page, then WebRTC or gQUIC can be used to force UDP traffic to attacker-controlled IP addresses. NOTE: this attack against KASLR became viable in 4.1 because IP ID generation was changed to have a dependency on an address associated with a network namespace.",cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*; cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-12338,2020-11-13T20:15:16.020,2020,CRITICAL,9.8,WebRTC,Out of Scope,Out of scope,Insufficient control flow management in the Open WebRTC Toolkit before version 4.3.1 may allow an unauthenticated user to potentially enable escalation of privilege via network access.,cpe:2.3:a:intel:open_webrtc_toolkit:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2022-22677,2022-11-01T20:15:17.290,2022,MEDIUM,4.3,WebRTC,Out of Scope,Out of scope,"A logic issue in the handling of concurrent media was addressed with improved state handling. This issue is fixed in macOS Monterey 12.4, iOS 15.5 and iPadOS 15.5. Video self-preview in a webRTC call may be interrupted if the user answers a phone call.",cpe:2.3:o:apple:ipados:*:*:*:*:*:*:*:*; cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*; cpe:2.3:o:apple:macos:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2022-23228,2022-02-18T22:15:12.597,2022,HIGH,7.5,WebRTC,Out of Scope,Out of scope,"Pexip Infinity before 27.0 has improper WebRTC input validation. An unauthenticated remote attacker can use excessive resources, temporarily causing denial of service.",cpe:2.3:a:pexip:pexip_infinity:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2025-5262,2025-05-27T13:15:21.980,2025,HIGH,7.5,WebRTC,Out of Scope,Out of scope,A double-free could have occurred in `vpx_codec_enc_init_multi` after a failed allocation when initializing the encoder for WebRTC. This could have caused memory corruption and a potentially exploitable crash. This vulnerability affects Thunderbird < 139 and Thunderbird < 128.11.,cpe:2.3:a:mozilla:thunderbird:*:*:*:*:esr:*:*:*; cpe:2.3:a:mozilla:thunderbird:*:*:*:*:-:*:*:*,rtc-related description/cpe/reference
CVE-2025-66443,2025-12-25T05:16:09.803,2025,HIGH,7.5,WebRTC,Out of Scope,Out of scope,"Pexip Infinity 35.0 through 38.1 before 39.0, in non-default configurations that use Direct Media for WebRTC, has Improper Input Validation in signalling that allows an attacker to trigger a software abort, resulting in a temporary denial of service.",cpe:2.3:a:pexip:pexip_infinity:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
